,trial_number,set_size,match,correct,response,response_time,probe_letter,session,session_file
47,48.0,8.0,2.0,1.0,52.0,1.56525,X,1,Data_Subject_08_Session_01.h5_seeg_raw.csv
48,49.0,4.0,1.0,0.0,2.0,1.95825,X,1,Data_Subject_08_Session_01.h5_seeg_raw.csv
49,50.0,4.0,1.0,1.0,51.0,1.33775,X,1,Data_Subject_08_Session_01.h5_seeg_raw.csv
50,1.0,8.0,1.0,1.0,51.0,1.37125,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
51,2.0,4.0,1.0,1.0,51.0,1.25,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
52,3.0,8.0,1.0,1.0,51.0,0.973,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
53,4.0,4.0,2.0,1.0,52.0,1.27775,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
54,5.0,6.0,2.0,1.0,52.0,2.60175,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
55,6.0,8.0,1.0,1.0,51.0,1.585,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
56,7.0,8.0,1.0,0.0,2.0,3.72575,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
57,8.0,4.0,1.0,1.0,51.0,1.24325,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
58,9.0,6.0,1.0,1.0,51.0,1.8465,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
59,10.0,4.0,2.0,1.0,52.0,1.0905,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
60,11.0,4.0,1.0,1.0,51.0,1.29425,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
61,12.0,6.0,2.0,1.0,52.0,2.366,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
62,13.0,6.0,2.0,1.0,52.0,2.10925,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
63,14.0,6.0,2.0,1.0,52.0,3.81575,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
64,15.0,4.0,1.0,1.0,51.0,1.2765,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
65,16.0,6.0,2.0,1.0,52.0,1.8805,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
66,17.0,4.0,2.0,1.0,52.0,1.01725,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
